,0
0,1075.8602
1,1096.2339
2,1115.5026
3,1133.5875
4,1150.502
5,1166.2957
6,1180.8754
7,1194.0898
8,1205.8514
9,1216.1072
10,1224.7694
11,1231.9038
12,1237.6953
13,1242.4542
14,1246.7798
15,1251.3892
16,1256.9058
17,1263.7021
18,1272.0131
19,1281.8153
20,1292.8384
21,1305.6376
22,1321.9127
23,1343.1038
24,1370.8176
25,1404.2798
26,1456.8901
27,1539.2246
28,1663.4674
29,1834.6849
30,2070.4343
31,2384.9116
32,2747.948
33,3122.1548
34,3471.4863
35,3774.3267
36,4024.4124
37,4231.113
38,4406.735
39,4559.185
40,4691.6055
41,4798.956
42,4879.2427
43,4933.779
44,4967.2305
45,4978.821
46,4965.0967
47,4927.1597
48,4869.454
49,4799.418
50,4722.8
51,4642.828
52,4564.9873
53,4493.97
54,4435.3193
55,4393.478
56,4376.84
57,4394.5283
58,4454.078
59,4562.6
60,4712.0254
61,4891.4414
62,5094.3315
63,5331.056
64,5624.1157
65,5984.393
66,6404.32
67,6890.0786
68,7495.1235
69,8130.522
70,8763.685
71,9343.946
72,9794.292
73,10078.135
74,10200.209
75,10215.241
76,10150.37
77,10019.998
78,9842.537
79,9642.535
80,9465.16
81,9355.017
82,9313.425
83,9292.749
84,9267.418
85,9215.209
86,9104.496
87,8945.413
88,8733.85
89,8480.654
90,8224.279
91,7993.5376
92,7811.112
93,7682.114
94,7594.0728
95,7522.652
96,7448.5835
97,7365.969
98,7275.258
99,7172.199
100,7058.265
101,6936.212
102,6811.053
103,6698.3574
104,6617.9517
105,6582.1133
106,6599.2993
107,6674.371
108,6832.1187
109,7066.5854
110,7370.6387
111,7722.738
112,8085.9478
113,8402.949
114,8644.273
115,8795.984
116,8845.488
117,8777.237
118,8610.693
119,8375.747
120,8099.959
121,7809.1367
122,7538.7954
123,7312.113
124,7128.7554
125,6983.301
126,6877.528
127,6806.603
128,6764.284
129,6749.4443
130,6754.464
131,6760.532
132,6748.889
133,6712.8877
134,6656.6084
135,6589.969
136,6532.2163
137,6502.7725
138,6510.917
139,6555.6436
140,6623.51
141,6704.2856
142,6787.4194
143,6859.987
144,6907.9277
145,6926.986
146,6925.165
147,6910.693
148,6890.273
149,6868.2817
150,6845.623
151,6821.9067
152,6795.1807
153,6763.5835
154,6723.0864
155,6668.2925
156,6599.45
157,6517.916
158,6418.567
159,6301.0005
160,6164.7354
161,6014.8267
162,5857.992
163,5698.637
164,5542.758
165,5395.514
166,5260.71
167,5138.1807
168,5026.243
169,4922.982
170,4825.553
171,4734.8794
172,4652.631
173,4584.8174
174,4536.7847
175,4507.2666
176,4492.0093
177,4484.8774
178,4481.322
179,4479.0303
180,4476.6934
181,4475.221
182,4474.453
183,4474.478
184,4478.818
