,0
0,875.41486
1,876.27094
2,876.88855
3,877.3034
4,877.5474
5,877.64746
6,877.63
7,877.54785
8,877.4694
9,877.45807
10,877.5705
11,877.85474
12,878.33057
13,878.9853
14,879.78735
15,880.70264
16,881.72046
17,882.8502
18,884.1043
19,885.5083
20,887.09344
21,888.8749
22,890.8814
23,893.1311
24,895.61096
25,898.29877
26,901.1826
27,904.2455
28,907.4582
29,910.7873
30,914.19604
31,917.6287
32,921.01294
33,924.2805
34,927.3818
35,930.2908
36,933.00745
37,935.5133
38,937.77496
39,939.76544
40,941.48456
41,942.9438
42,944.1614
43,945.16473
44,945.9876
45,946.6621
46,947.21515
47,947.67175
48,948.0464
49,948.37683
50,948.7062
51,949.069
52,949.48096
53,949.94135
54,950.4398
55,950.94946
56,951.44
57,951.83484
58,952.0551
59,952.04474
60,951.77374
61,951.23254
62,950.4641
63,949.5364
64,948.4938
65,947.36053
66,946.17035
67,944.9502
68,943.7219
69,942.50494
70,941.3018
71,940.106
72,938.9085
73,937.6924
74,936.44824
75,935.17566
76,933.8736
77,932.56146
78,931.27386
79,930.0289
80,928.83685
81,927.6991
82,926.61316
83,925.5853
84,924.62006
85,923.72284
86,922.9053
87,922.1986
88,921.62885
89,921.2119
90,920.96936
91,920.9185
92,921.0675
93,921.42847
94,922.0091
95,922.8106
96,923.8032
97,924.9459
98,926.183
99,927.4765
100,928.799
101,930.13196
102,931.46326
103,932.787
104,934.0821
105,935.3239
106,936.4784
107,937.50757
108,938.3798
109,939.08606
110,939.6344
111,940.04205
112,940.32935
113,940.5231
114,940.64404
115,940.7041
116,940.7189
117,940.70514
118,940.668
119,940.6227
120,940.57074
121,940.5089
122,940.4318
123,940.3409
124,940.24274
125,940.14197
126,940.0444
127,939.9563
128,939.88025
129,939.82697
130,939.8079
131,939.8242
132,939.86725
133,939.9266
134,939.9954
135,940.06976
136,940.1486
137,940.23346
138,940.3288
139,940.4379
140,940.56177
141,940.6989
142,940.84357
143,940.99097
144,941.1378
145,941.2879
146,941.4427
147,941.6032
148,941.7786
149,941.9683
150,942.1785
151,942.40967
152,942.66473
153,942.9549
154,943.3015
155,943.7196
156,944.2211
157,944.81433
158,945.5118
159,946.3231
160,947.2332
161,948.212
162,949.2309
163,950.2649
164,951.29047
165,952.2851
166,953.23303
167,954.1203
168,954.93915
169,955.6937
170,956.40326
171,957.0837
172,957.74677
173,958.39294
174,959.0131
175,959.6033
176,960.16284
177,960.6912
178,961.18945
179,961.6583
180,962.0966
181,962.50214
182,962.8619
183,963.1628
184,963.39435
185,963.5494
186,963.6282
187,963.63745
188,963.5914
189,963.5107
190,963.43506
191,963.45685
192,963.68884
193,964.22473
194,965.123
195,966.4087
196,968.08026
197,970.1389
198,972.59216
199,975.43427
200,978.6494
201,982.1991
202,986.0288
203,990.0696
204,994.2441
205,998.5066
206,1002.89246
207,1007.5072
208,1012.4428
209,1017.7469
210,1023.49176
211,1029.738
212,1036.499
213,1043.7576
214,1051.4365
215,1059.3477
216,1067.1498
217,1074.504
218,1081.2444
219,1087.2937
220,1092.6049
221,1097.1714
222,1101.0227
223,1104.2051
224,1106.8015
225,1108.9187
226,1110.6882
227,1112.2169
